type,amount,fitness,time
MaxInitialTreeHeight,4,0.939,23.702617168426514
MaxInitialTreeHeight,5,0.939,28.556344270706177
MaxMutationSubtreeHeight,1,0.9343,21.77307939529419
MaxMutationSubtreeHeight,2,0.939,28.966647624969482
MaxMutationSubtreeHeight,4,0.9202,21.517956018447876
MaxMutationSubtreeHeight,5,0.9296,25.795568704605103
CroisProbability,0.4,0.9343,17.585617065429688
CroisProbability,0.5,0.939,21.50804042816162
CroisProbability,0.6,0.9343,21.350507974624634
CroisProbability,0.8,0.9343,28.85397171974182
MutationProbability,0.1,0.939,21.84108304977417
MutationProbability,0.15,0.9343,24.398711919784546
MutationProbability,0.25,0.9061,24.70989680290222
MutationProbability,0.3,0.9343,24.24099326133728
TreeHeight,6,0.939,28.850476264953613
TreeHeight,8,0.9437,30.97694230079651
TreeHeight,10,0.9437,48.67602252960205
TreeHeight,12,0.9484,70.45274639129639
MaxInitialTreeHeight,1,0.9343,25.688137769699097
MaxInitialTreeHeight,2,0.9437,25.488245487213135
MaxInitialTreeHeight,4,0.9343,24.052045822143555
MaxInitialTreeHeight,5,0.939,28.461112022399902
MaxMutationSubtreeHeight,1,0.9343,23.203834056854248
MaxMutationSubtreeHeight,2,0.9249,26.405938625335693
MaxMutationSubtreeHeight,4,0.939,29.78105401992798
MaxMutationSubtreeHeight,5,0.9296,29.441458225250244
CroisProbability,0.4,0.9343,15.60722017288208
CroisProbability,0.5,0.9343,19.922810316085815
CroisProbability,0.6,0.9577,30.178863048553467
CroisProbability,0.8,0.939,31.976592302322388
MutationProbability,0.1,0.9343,22.246922492980957
MutationProbability,0.15,0.9437,22.20445680618286
MutationProbability,0.25,0.939,28.519869565963745
MutationProbability,0.3,0.9202,32.12805771827698
TreeHeight,6,0.939,30.37047505378723
TreeHeight,8,0.9484,38.99073886871338
TreeHeight,10,0.9671,45.9256432056427
TreeHeight,12,0.939,36.83704948425293
MaxInitialTreeHeight,1,0.9155,22.17165994644165
MaxInitialTreeHeight,2,0.939,26.438791513442993
MaxInitialTreeHeight,4,0.939,26.492775678634644
MaxInitialTreeHeight,5,0.9343,25.359697103500366
MaxMutationSubtreeHeight,1,0.9343,20.88698124885559
MaxMutationSubtreeHeight,2,0.9437,26.8118839263916
MaxMutationSubtreeHeight,4,0.939,24.179510831832886
MaxMutationSubtreeHeight,5,0.9343,27.761044025421143
CroisProbability,0.4,0.9343,18.90579390525818
CroisProbability,0.5,0.892,16.54512619972229
CroisProbability,0.6,0.9202,26.747716903686523
CroisProbability,0.8,0.939,34.161131858825684
MutationProbability,0.1,0.9249,25.92502236366272
MutationProbability,0.15,0.9249,24.99083137512207
MutationProbability,0.25,0.939,27.3747980594635
MutationProbability,0.3,0.939,28.481231451034546
TreeHeight,6,0.9531,26.8977952003479
TreeHeight,8,0.939,30.466808319091797
TreeHeight,10,0.9718,53.19956398010254
TreeHeight,12,0.9437,47.2386155128479
MaxInitialTreeHeight,1,0.9671,27.76186728477478
MaxInitialTreeHeight,2,0.9437,29.011365175247192
MaxInitialTreeHeight,4,0.939,25.730289936065674
MaxInitialTreeHeight,5,0.939,30.885181427001953
MaxMutationSubtreeHeight,1,0.939,25.52601408958435
MaxMutationSubtreeHeight,2,0.939,28.405861616134644
MaxMutationSubtreeHeight,4,0.939,29.574864625930786
MaxMutationSubtreeHeight,5,0.939,23.71500325202942
CroisProbability,0.4,0.939,17.916061639785767
CroisProbability,0.5,0.9296,17.875306129455566
CroisProbability,0.6,0.9296,22.337506532669067
CroisProbability,0.8,0.9249,29.535929918289185
MutationProbability,0.1,0.9531,28.125568389892578
MutationProbability,0.15,0.9343,23.580164909362793
MutationProbability,0.25,0.9296,29.231478929519653
MutationProbability,0.3,0.9437,33.70802426338196
base,5,0.9343,31.45392084121704
base,5,0.9437,29.243277072906494
base,5,0.939,23.37661576271057
base,5,0.939,31.73454999923706
base,5,0.939,24.055599451065063
base,5,0.9296,25.27558994293213
base,5,0.9155,23.261165380477905
base,5,0.9343,25.211124420166016
base,5,0.939,33.07218623161316
base,5,0.9437,28.364301443099976
